8	    0.000001380
16	    0.000001316
32	    0.000001380
64	    0.000001357
128	    0.000001352
256	    0.000001373
512	    0.000001531
1024	    0.000001776
2048	    0.000002174
4096	    0.000003045
8192	    0.000004828
16384	    0.000005717
32768	    0.000007634
65536	    0.000011921
131072	    0.000019283
262144	    0.000034823
524288	    0.000065765
1048576	    0.000127420
2097152	    0.000255246
4194304	    0.000477707
8388608	    0.001015196
16777216	    0.002093010
33554432	    0.004247243
67108864	    0.008743236
134217728	    0.017383950
268435456	    0.035599709
536870912	    0.071528866
1073741824	    0.143083694
